[15:35:06] 开始下载 87 首 | 并发 3
[15:35:07] OK   [勾指起誓] song_01.m4a (3.55 MB)
[15:35:08] OK   [三月雨] song_03.m4a (5.66 MB)
[15:35:08] OK   [寄明月] song_02.m4a (4.94 MB)
[15:35:10] OK   [少女レイ] song_04.m4a (3.50 MB)
[15:35:11] OK   [爱情讯息] song_06.m4a (6.11 MB)
[15:35:11] OK   [Virtual to LIVE] song_05.m4a (3.48 MB)
[15:35:12] OK   [白鸟过河滩] song_07.m4a (4.43 MB)
[15:35:13] OK   [苍蝇] song_08.m4a (4.01 MB)
[15:35:13] OK   [虫儿飞] song_09.m4a (2.14 MB)
[15:35:15] OK   [词不达意] song_11.m4a (7.96 MB)
[15:35:16] OK   [匆匆那年] song_12.m4a (4.85 MB)
[15:35:17] OK   [春日影] song_10.m4a (5.58 MB)
[15:35:22] OK   [第一只小兔子] song_15.m4a (3.73 MB)
[15:35:25] OK   [都落ち] song_16.m4a (5.60 MB)
[15:35:27] OK   [二人セゾン] song_17.m4a (3.50 MB)
[15:35:29] OK   [繁华唱遍] song_18.m4a (5.21 MB)
[15:35:31] OK   [風になる] song_19.m4a (5.75 MB)
[15:35:33] OK   [カタオモイ] song_14.m4a (3.14 MB)
[15:35:33] OK   [大声钻石] song_13.m4a (2.81 MB)
[15:35:33] OK   [故梦] song_20.m4a (5.54 MB)
[15:35:35] OK   [航向你的海岛] song_22.m4a (5.46 MB)
[15:35:35] OK   [横竖撇点折] song_23.m4a (4.08 MB)
[15:35:36] OK   [光景] song_21.m4a (3.52 MB)
[15:35:37] OK   [后来] song_24.m4a (2.27 MB)
[15:35:37] OK   [蝴蝶] song_25.m4a (4.21 MB)
[15:35:38] OK   [花粉症] song_26.m4a (4.09 MB)
[15:35:39] OK   [锦鲤抄] song_27.m4a (4.89 MB)
[15:35:39] OK   [绝不认输] song_28.m4a (5.02 MB)
[15:35:41] OK   [君色に染まる] song_29.m4a (4.30 MB)
[15:35:41] OK   [可愛くてごめん] song_30.m4a (4.81 MB)
[15:35:42] OK   [涟漪] song_31.m4a (5.10 MB)
[15:35:43] OK   [恋爱困难少女] song_32.m4a (4.78 MB)
[15:35:43] OK   [玛德琳娜电塔] song_33.m4a (4.94 MB)
[15:35:45] OK   [木偶] song_35.m4a (4.06 MB)
[15:35:45] OK   [蜜月アン・ドゥ・トロワ] song_34.m4a (4.72 MB)
[15:35:46] OK   [目的论] song_36.m4a (5.97 MB)
[15:35:47] OK   [偏食] song_38.m4a (5.07 MB)
[15:35:47] OK   [暖暖] song_37.m4a (5.07 MB)
[15:35:48] OK   [聘书] song_39.m4a (4.75 MB)
[15:35:49] OK   [青柠] song_40.m4a (3.52 MB)
[15:35:50] OK   [人间不值得] song_41.m4a (5.75 MB)
[15:35:50] OK   [人间失宠] song_42.m4a (5.59 MB)
[15:35:51] OK   [人间应又雪] song_43.m4a (5.06 MB)
[15:35:52] OK   [山遥路远] song_44.m4a (5.06 MB)
[15:35:53] OK   [食虫植物] song_46.m4a (3.25 MB)
[15:35:53] OK   [上山岗] song_45.m4a (4.65 MB)
[15:35:54] OK   [世界は恋に落ちている] song_47.m4a (6.69 MB)
[15:35:55] OK   [世末歌者] song_48.m4a (4.07 MB)
[15:35:55] OK   [霜雪千年] song_49.m4a (5.07 MB)
[15:35:57] OK   [私、アイドル宣言] song_50.m4a (3.35 MB)
