clip_date,date_source,date_text,song_name,song_name_source,artist,clip_kind,chapter_title,clip_title,clip_url,clip_bvid,uploader,duration,source_query,duplicate_key,duplicate_status,duplicate_of,collected_at,notes
2026-08-29,cut-pubdate-match,2026-08-29,阿拉斯加海湾,clip-title,,single,,上天啊 你难道不知道我很爱她【小松绿Viridis】阿拉斯加海湾,https://www.bilibili.com/video/BV1JX4y6fEpy/,BV1JX4y6fEpy,小冬青Viridis,03:58,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::阿拉斯加海湾,primary,,2026-08-29T09:21:12.913Z,切片，2026-08-29 14:59 发布。菲道尔（Firdhaus）2020 原唱。弹幕 00:48-00:52「阿拉斯加海湾来了」佐证。
2026-08-29,cut-pubdate-match,2026-08-29,绿色,clip-title,,single,,【小松绿Viridis】神中神《绿色》羽啾进入直播间有人心乱了,https://www.bilibili.com/video/BV1qg4k6SEMi/,BV1qg4k6SEMi,超级海粼猫,05:05,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::绿色,secondary,https://www.bilibili.com/video/BV1qZ4y6xE1j/,2026-08-29T09:21:12.913Z,同场切片（含羽啾进直播间反应），2026-08-29 14:48 发布。
2026-08-29,cut-desc-date,2026-08-29,绿色,clip-title,,single,,【小松绿Viridis/歌切】绿色,https://www.bilibili.com/video/BV1qZ4y6xE1j/,BV1qZ4y6xE1j,华丽失败酱,04:28,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::绿色,primary,,2026-08-29T09:21:12.913Z,歌切（独唱整首），2026-08-29 14:58 发布，desc 含 20260829。弹幕歌词实锤 00:33:30-00:40:30（「从此我的心里只剩绿色」「若不是你突然闯进我生活」密集刷屏）。
2026-08-29,cut-pubdate-match,2026-08-29,你究竟有几个好妹妹,clip-title,,single,,@羽啾：你是我最爱的妹妹 测谎仪：👎👎👎【小松绿Viridis】,https://www.bilibili.com/video/BV1Bg4k6SEeW/,BV1Bg4k6SEeW,小冬青Viridis,05:21,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::你究竟有几个好妹妹,secondary,https://www.bilibili.com/video/BV1dd4y6oEQb/,2026-08-29T09:21:12.913Z,同场互动切片（好妹妹主题），2026-08-29 14:53 发布。
2026-08-29,cut-pubdate-match,2026-08-29,你究竟有几个好妹妹,clip-title,,single,,《你究竟有几个好妹妹》【小松绿Viridis】,https://www.bilibili.com/video/BV1dd4y6oEQb/,BV1dd4y6oEQb,怎样能想到合适的昵称,05:44,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::你究竟有几个好妹妹,primary,,2026-08-29T09:21:12.913Z,切片，2026-08-29 15:15 发布。孟庭苇 1993《谁的眼泪在飞》收录曲。弹幕 00:41-00:45「羽啾你究竟有几个好妹妹」密集刷屏。
2026-08-29,cut-pubdate-match,2026-08-29,想和你迎着台风去看海,clip-title,,single,,【小松绿Viridis】《想和你迎着台风去看海》“刚想开口骂 心却跳起来”,https://www.bilibili.com/video/BV1qT4k6QEXt/,BV1qT4k6QEXt,正逢夏末秋凉,01:44,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::想和你迎着台风去看海,secondary,https://www.bilibili.com/video/BV1ta4y6VEQy/,2026-08-29T09:21:12.913Z,同场切片（歌词副标题），2026-08-29 14:34 发布（当日最早台风歌切片，演唱时段按弹幕估 00:32-00:34）。
2026-08-29,cut-desc-date,2026-08-29,想和你迎着台风去看海,clip-title,,single,,左摇右晃小甜歌《想和你迎着台风去看海》【小松绿Viridis】,https://www.bilibili.com/video/BV1ta4y6VEQy/,BV1ta4y6VEQy,赫洛二号机,01:43,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::想和你迎着台风去看海,primary,,2026-08-29T09:21:12.913Z,切片，2026-08-29 16:10 发布，desc「8.29突击唱歌」。桑拿猫黑糖/洛天依（ACE 原创，2022-08-29 投稿，恰为直播当日周年）。
2026-08-29,cut-desc-date,2026-08-29,Talking to the Rain,clip-title,,single,,【小松绿Viridis/歌切】Talking to the Rain,https://www.bilibili.com/video/BV1Hm4y6AEC3/,BV1Hm4y6AEC3,华丽失败酱,03:37,小松绿Viridis 歌切/突击的随便唱（20260829 检索定位）,2026-08-29::Talking to the Rain,primary,,2026-08-29T09:21:12.913Z,歌切（独唱整首），2026-08-29 15:09 发布，desc 含 20260829。弹幕歌词梗实锤 01:09-01:15（「孤独的像枝堇」=歌词「孤独得像只鲸」谐音）。芹菜猪肉大馄饨/星尘海伊（中文Vocaloid传说曲）。
2026-08-26,manual-normalized,2026-08-26,绿色,clip-title,陈雪凝,single,,『绿 色💚』【小松绿/四时小路/羽啾】,https://www.bilibili.com/video/BV1QG8o6xE13/,BV1QG8o6xE13,沉默环节,01:43,语音频道合唱切片（游龙287）,2026-08-26::绿色,primary,,2026-08-27T09:23:19.730Z,语音频道三人合唱《绿色》（小松绿/四时小路/羽啾），切片页名「0826 (2)(8)」，2026-08-26 投稿。直播间弹幕无歌词佐证，仅「你在后边唱歌」「一转歌回」等提示；另有同晚切片「小路和羽啾合唱《绿色》无能的小松绿只能向枝堇妈妈哭诉」（BV1cL8Z6VE6p）提示小松绿是否正式开唱存疑，待人工复核。
2026-08-23,replay-title-date,2026年08月23日21点场,吹灭小山河,danmaku-name-drop,国风堂 / 司南,single,,【小松绿Viridis/歌切】吹灭小山河,https://www.bilibili.com/video/BV11F8h6BE4d/,BV11F8h6BE4d,华丽失败酱,02:35,相关推荐挖掘,2026-08-23::吹灭小山河,primary,,2026-08-24T09:12:06.664Z,弹幕02:46:33“吹灭小山河有品”（有品=选曲品味好，指演唱中）。网易云核实：国风堂/司南《观风月·竹马篇》。已找到专门歌切 BV11F8h6BE4d（华丽失败酱，20260823）。
